TweetID|TweetFullText|annotationDesc|predictDesc
138.txt|*** PLS SHARE: 1602 State St (Union Hall) Houston police need socks, undershirts, underwear !!!|[{'locationDesc': '1602 State St', 'locationCate': 'C1', 'startIndex': 15, 'endIndex': 28}, {'locationDesc': 'Union Hall', 'locationCate': 'C7', 'startIndex': 30, 'endIndex': 40}, {'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 42, 'endIndex': 49}]|C1: 1602 State St (Union Hall); C9: Houston
139.txt|*** PLS SHARE: Houston police need socks, undershirts, underwear at 1602 State St (Union Hall) Harvey HoustonFlood|[{'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 15, 'endIndex': 22}, {'locationDesc': '1602 State St', 'locationCate': 'C1', 'startIndex': 68, 'endIndex': 81}, {'locationDesc': 'Union Hall', 'locationCate': 'C7', 'startIndex': 83, 'endIndex': 93}]|C9: Houston; C1: 1602 State St (Union Hall)
142.txt|Supreme Ct get proactive, letting courts in Buffalo Bayou areas know that Harvey is good cause f â€¦|[{'locationDesc': 'Buffalo Bayou', 'locationCate': 'C6', 'startIndex': 44, 'endIndex': 57}]|C6: Buffalo Bayou areas
153.txt|Need trailers/trucks to move dogs from Park Location: Whites Park Pavillion off I-10 exit 61 Anahuac TX HurricaneHarvey|[{'locationDesc': 'Whites Park Pavillion', 'locationCate': 'C7', 'startIndex': 54, 'endIndex': 75}, {'locationDesc': 'I-10', 'locationCate': 'C3', 'startIndex': 80, 'endIndex': 84}, {'locationDesc': 'exit 61', 'locationCate': 'C4', 'startIndex': 85, 'endIndex': 92}, {'locationDesc': 'Anahuac TX', 'locationCate': 'C9', 'startIndex': 93, 'endIndex': 103}]|C7: Whites Park Pavillion; C3: I-10 exit 61; C9: Anahuac TX
155.txt|12 Y/O BOY NEEDs RESCUED! 8100 Cypresswood Dr Spring TX 77379 They are trapped on second story! houstonflood â€¦|[{'locationDesc': '8100 Cypresswood Dr Spring TX 77379', 'locationCate': 'C1', 'startIndex': 26, 'endIndex': 61}]|C1: 8100 Cypresswood Dr, Spring, TX 77379
156.txt|TX 249 Northbound at Chasewood Dr. Louetta Rd. Exit. houstonflood|[{'locationDesc': 'TX 249 Northbound at Chasewood Dr. Louetta Rd. Exit', 'locationCate': 'C11', 'startIndex': 0, 'endIndex': 51}]|C3: TX 249 Northbound; C2: Chasewood Dr.; C4: Louetta Rd. Exit
157.txt|Emergency on 12231 Kings path lane Houston, Tx 77044 please repost repost repost repost hurricaneharvey â€¦|[{'locationDesc': '12231 Kings path lane Houston, Tx 77044', 'locationCate': 'C1', 'startIndex': 13, 'endIndex': 52}]|C1: 12231 Kings path lane, Houston, Tx 77044
158.txt|1253mm of rain recorded SE of Houston as a result of HurricaneHarvey. To put that into perspective, the ANNUAL ave â€¦|[{'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 30, 'endIndex': 37}]|C10: SE of Houston
159.txt|13098 Seaberg Dr Crosby, Texas 77532 HurricaneHarvey Stuck surrounded by bayou and house is being swallowed up!! Pleas â€¦|[{'locationDesc': '13098 Seaberg Dr Crosby, Texas 77532', 'locationCate': 'C1', 'startIndex': 0, 'endIndex': 36}]|C1: 13098 Seaberg Dr, Crosby, Texas 77532
161.txt|2 PEOPLE & DOG. send rescue!! 6030 Warm Springs Rd Houston, TX 77035- their address. HurricaneHarvey houstonfloo|[{'locationDesc': '6030 Warm Springs Rd Houston, TX 77035', 'locationCate': 'C1', 'startIndex': 30, 'endIndex': 68}]|C1: 6030 Warm Springs Rd, Houston, TX 77035
162.txt|2 people in need of rescue Bavaria buildings. 12431 Maura Lane, Houston, TX 77044. Near CE King Pkwy and Tidwell HurricaneHarvey HarveySO|[{'locationDesc': 'Bavaria', 'locationCate': 'C9', 'startIndex': 27, 'endIndex': 34}, {'locationDesc': '12431 Maura Lane, Houston, TX 77044.', 'locationCate': 'C1', 'startIndex': 46, 'endIndex': 82}, {'locationDesc': 'CE King Pkwy and Tidwell', 'locationCate': 'C5', 'startIndex': 88, 'endIndex': 112}]|C8: Bavaria buildings; C1: 12431 Maura Lane, Houston, TX 77044; C2: CE King Pkwy
163.txt|2. Please start UNUSED GIFT CARD initiatives. Send to: Bayou Animal Services 3120 Deats Rd, Dickinson, Texas ...|[{'locationDesc': '3120 Deats Rd, Dickinson, Texas', 'locationCate': 'C1', 'startIndex': 77, 'endIndex': 108}]|C8: Bayou Animal Services; C1: 3120 Deats Rd, Dickinson, Texas
165.txt|21931 Westfield Creek Dr- Houston- send help houstonflooding harveyflooding Rescu|[{'locationDesc': '21931 Westfield Creek Dr- Houston', 'locationCate': 'C1', 'startIndex': 0, 'endIndex': 33}]|C1: 21931 Westfield Creek Dr; C9: Houston
168.txt|2nd pick up from N Desert Blvd location. Harvey Donation drive continues Sept 17 KandolitesKritters â€¦|[{'locationDesc': 'N Desert Blvd', 'locationCate': 'C2', 'startIndex': 17, 'endIndex': 30}]|C2: N Desert Blvd location
170.txt|30 dogs need rescue Dogs Day Inn on Barker Cypress Rd NeedWaterRescue HarveyRescue HarveySOS â€¦|[{'locationDesc': 'Barker Cypress Rd', 'locationCate': 'C2', 'startIndex': 36, 'endIndex': 53}]|C8: Dogs Day Inn; C2: Barker Cypress Rd
173.txt|413 Speights Loop Road, TX 77560 This is a abandoned boarding facility in Texas that needs help!!! pleaseshare HurricaneHarve|[{'locationDesc': '413 Speights Loop Road, TX 77560', 'locationCate': 'C1', 'startIndex': 0, 'endIndex': 32}, {'locationDesc': 'Texas', 'locationCate': 'C9', 'startIndex': 74, 'endIndex': 79}]|C1: 413 Speights Loop Road, TX 77560
176.txt|80 people stranded in a church!! 5547 Cavalcade St, Houston, TX 77026 harveyrescue hurricaneharvey sendhelp harveysos houston texa|[{'locationDesc': '5547 Cavalcade St, Houston, TX 77026', 'locationCate': 'C1', 'startIndex': 33, 'endIndex': 69}, {'locationDesc': 'houston texa', 'locationCate': 'C9', 'startIndex': 118, 'endIndex': 130}]|C8: 5547 Cavalcade St, Houston, TX 77026
177.txt|3 women stranded: 8130 Snowden St Houston TX 77028- HurricaneHarvey harvey houston texas|[{'locationDesc': '8130 Snowden St Houston TX 77028', 'locationCate': 'C1', 'startIndex': 18, 'endIndex': 50}, {'locationDesc': 'houston texas', 'locationCate': 'C9', 'startIndex': 75, 'endIndex': 88}]|C1: 8130 Snowden St, Houston, TX 77028
18.txt|Harvey relief drive @ Linn Energy is off to a great start. Their sites are at Hwy 81 & Airport rd in Kingfisher|[{'locationDesc': 'Hwy 81 & Airport rd', 'locationCate': 'C5', 'startIndex': 78, 'endIndex': 97}, {'locationDesc': 'Kingfisher', 'locationCate': 'C2', 'startIndex': 101, 'endIndex': 111}]|C8: Linn Energy; C3: Hwy 81 & Airport rd; C9: Kingfisher
181.txt|will knock out in the 6th rd HurricanHarvey Harvey2017 prayfortexas MayweatherVsMcGrego|[{'locationDesc': '6th rd', 'locationCate': 'C2', 'startIndex': 22, 'endIndex': 28}]|There are no location descriptions in this sentence.
182.txt|On facebook: Dogs Day Inn on Barker Cypress has 30 dogs stuck, need to be rescued by boat â€¦|[{'locationDesc': 'Barker Cypress', 'locationCate': 'C2', 'startIndex': 29, 'endIndex': 43}]|C8: Dogs Day Inn; C2: Barker Cypress
183.txt|Veterans Affairs setting up huge mobile pharmacy for HurricaneHarvey At Paige St/Mckinney St in southeast Houston|[{'locationDesc': 'Paige St/Mckinney St', 'locationCate': 'C5', 'startIndex': 72, 'endIndex': 92}, {'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 106, 'endIndex': 113}]|C5: Paige St/Mckinney St; C10: southeast Houston
185.txt|Please help us to get in touch with Mr.Krishna Mohan, Sugarland TX. 77479, Monarch Dr. 4135, Phone: (678)-467-8122 Harve|[{'locationDesc': 'Sugarland TX', 'locationCate': 'C9', 'startIndex': 54, 'endIndex': 66}, {'locationDesc': 'Monarch Dr. 4135', 'locationCate': 'C1', 'startIndex': 75, 'endIndex': 91}]|C9: Sugarland TX; C2: 77479; C1: Monarch Dr. 4135
187.txt|shame on the Holiday Inn Express and Suites in Katy, Texas for making dogs stay in cars during crisis Harvey201|[{'locationDesc': 'Katy, Texas', 'locationCate': 'C9', 'startIndex': 47, 'endIndex': 58}]|C8: Holiday Inn Express and Suites; C9: Katy, Texas
188.txt|Because of the Holiday Inn Express and Suites in Katy, Texas., i will never stay with you dogs are family too HurricaneHarve|[{'locationDesc': 'Katy, Texas', 'locationCate': 'C9', 'startIndex': 49, 'endIndex': 60}]|C8: Holiday Inn Express and Suites; C9: Katy, Texas
189.txt|Thanks Home Depot in Plano on Custer Rd for your help with Flood Cleanup Kits! Pray: they sent folks to â€¦|[{'locationDesc': 'Plano', 'locationCate': 'C9', 'startIndex': 21, 'endIndex': 26}, {'locationDesc': 'Custer Rd', 'locationCate': 'C2', 'startIndex': 30, 'endIndex': 39}]|C8: Home Depot in Plano; C2: Custer Rd
191.txt|someone placed a car here for ins purpose. parking lot of I-10 highway. Terry Hershey Park Parking lot. â€¦|[{'locationDesc': 'I-10 highway', 'locationCate': 'C3', 'startIndex': 58, 'endIndex': 70}, {'locationDesc': 'Terry Hershey Park', 'locationCate': 'C7', 'startIndex': 72, 'endIndex': 90}]|C3: I-10 highway; C7: Terry Hershey Park Parking lot
192.txt|even cute pups like treats to support your HurricaneHarvey efforts. Stop by 510 Brooks St in Sugar Land|[{'locationDesc': '510 Brooks St in Sugar Land', 'locationCate': 'C1', 'startIndex': 76, 'endIndex': 103}]|C1: 510 Brooks St; C9: Sugar Land
2.txt|HarveyRescue SOS Harvey 2320 E 17th street, in Port Arthur: 4 adults & 2 kids need rescue! HoustonFlood HarveyFlood|[{'locationDesc': '2320 E 17th street, in Port Arthur', 'locationCate': 'C1', 'startIndex': 24, 'endIndex': 58}]|C1: 2320 E 17th street; C9: Port Arthur
200.txt|barker cypress and Morton, north side of Cullen Park area, people saying there are people still there need t â€¦|[{'locationDesc': 'barker cypress', 'locationCate': 'C9', 'startIndex': 0, 'endIndex': 14}, {'locationDesc': 'Morton', 'locationCate': 'C9', 'startIndex': 19, 'endIndex': 25}, {'locationDesc': 'Cullen Park', 'locationCate': 'C7', 'startIndex': 41, 'endIndex': 52}]|C5: Barker Cypress and Morton; C10: north side of Cullen Park area
201.txt|Scanner: Texas City police say 25th Avenue is flooded; 9th Avenue appears clear Harve|[{'locationDesc': '25th Avenue', 'locationCate': 'C2', 'startIndex': 31, 'endIndex': 42}, {'locationDesc': '9th Avenue', 'locationCate': 'C2', 'startIndex': 55, 'endIndex': 65}]|C9: Texas City; C5: 25th Avenue; C5: 9th Avenue
203.txt|He had to be publicly shamed into opening the neartown church building to victims of Harvey. He â€¦|[{'locationDesc': 'neartown church', 'locationCate': 'C8', 'startIndex': 46, 'endIndex': 61}]|C8: neartown church building
205.txt|Family of five (including 90 y/o woman) in need of rescue. 1425 15th St. Port Arthur, Texa â€¦|[{'locationDesc': '1425 15th St. Port Arthur, Texa', 'locationCate': 'C1', 'startIndex': 59, 'endIndex': 90}]|C1: 1425 15th St; C9: Port Arthur, Texas
206.txt|heavy pouring rain in Bogue Chitto State Park, North of Folsom, Barometric Pressure has dropped to 29.90 â€¦|[{'locationDesc': 'Bogue Chitto State Park', 'locationCate': 'C7', 'startIndex': 22, 'endIndex': 45}, {'locationDesc': 'Folsom', 'locationCate': 'C9', 'startIndex': 56, 'endIndex': 62}]|C7: Bogue Chitto State Park; C10: North of Folsom
211.txt|906 Greens Rd & 303 Gateship Dr 77073 is in need of help â€¦|[{'locationDesc': '906 Greens Rd', 'locationCate': 'C1', 'startIndex': 0, 'endIndex': 13}, {'locationDesc': '303 Gateship Dr', 'locationCate': 'C1', 'startIndex': 16, 'endIndex': 31}]|C1: 906 Greens Rd & 303 Gateship Dr 77073
214.txt|HarveySOS 13118 Maxwell Rd Cypress Texas: needs Help Help Help â€¦|[{'locationDesc': '13118 Maxwell Rd Cypress Texas', 'locationCate': 'C1', 'startIndex': 10, 'endIndex': 40}]|C1: 13118 Maxwell Rd; C9: Cypress Texas
216.txt|Major flooding at Clay Rd & Queenston in west Houston. Lots of rescues going on for ppl trapped back in the neighborhood.|[{'locationDesc': 'Clay Rd & Queenston', 'locationCate': 'C5', 'startIndex': 18, 'endIndex': 37}, {'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 46, 'endIndex': 53}]|C5: Clay Rd & Queenston; C9: west Houston
217.txt|Curious as well? Anyone how is Louetta Rd toward downtown? houstonflood houstonTraffi|[{'locationDesc': 'Louetta Rd', 'locationCate': 'C2', 'startIndex': 31, 'endIndex': 41}]|C2: Louetta Rd; C9: downtown
218.txt|White Oak Bayou at the Heights hike- bike trail looking East twd Stude Park, before, during & after â€¦|[{'locationDesc': 'White Oak Bayou', 'locationCate': 'C6', 'startIndex': 0, 'endIndex': 15}, {'locationDesc': 'Stude Park', 'locationCate': 'C7', 'startIndex': 65, 'endIndex': 75}]|C6: White Oak Bayou; C7: Heights hike-bike trail; C7: Stude Park
219.txt|Streets Flooded: Almeda Genoa Rd. from Windmill Lakes Blvd. to Rowlett Rd. HurricaneHarvey Houston|[{'locationDesc': 'Almeda Genoa Rd. from Windmill Lakes Blvd. to Rowlett Rd.', 'locationCate': 'C11', 'startIndex': 17, 'endIndex': 74}]|C2: Almeda Genoa Rd. from Windmill Lakes Blvd. to Rowlett Rd; C9: Houston
22.txt|HurricanHarvey RT PHOTO showing the back of the Fairfield Inn in Rockport after HurricanHarvey !!!|[{'locationDesc': 'Rockport', 'locationCate': 'C9', 'startIndex': 65, 'endIndex': 73}]|C8: Fairfield Inn; C9: Rockport
224.txt|is the San Jacinto bridge, north of Humble, TX open? HurricaneHarvey Harvey HarveyFloo|[{'locationDesc': 'San Jacinto bridge', 'locationCate': 'C7', 'startIndex': 7, 'endIndex': 25}, {'locationDesc': 'Humble, TX', 'locationCate': 'C9', 'startIndex': 36, 'endIndex': 46}]|C7: San Jacinto bridge; C9: north of Humble, TX
227.txt|is the Walmart on 6160 fry rd open? I ran out of food and need supplies HurricaneHarve|[{'locationDesc': '6160 fry rd', 'locationCate': 'C1', 'startIndex': 18, 'endIndex': 29}]|C8: Walmart; C1: 6160 fry rd
236.txt|(1 adult, 8 year old w/autism) On top of car in garage 2935 40th St. Port Arthur, TX 77642 SOS HELP HARVEY HARVEYSO|[{'locationDesc': '2935 40th St. Port Arthur, TX 77642', 'locationCate': 'C1', 'startIndex': 55, 'endIndex': 90}]|C1: 2935 40th St; C9: Port Arthur, TX 77642
237.txt|HurricaneHarvey Port Arthur please send a boat to 4318 Kylewood Ct. Port Arthur, TX family needs help ASA|[{'locationDesc': 'Port Arthur', 'locationCate': 'C9', 'startIndex': 16, 'endIndex': 27}, {'locationDesc': '4318 Kylewood Ct. Port Arthur, TX', 'locationCate': 'C1', 'startIndex': 50, 'endIndex': 83}]|C9: Port Arthur; C1: 4318 Kylewood Ct.; C9: Port Arthur, TX
238.txt|PLEASE RETWEET! Joshua Comeaux Jr. & Cinthia Ross trapped at 936 Phyllis St in Port Arthur, Please rescue. HurricaneHarve|[{'locationDesc': '936 Phyllis St in Port Arthur', 'locationCate': 'C1', 'startIndex': 61, 'endIndex': 90}]|C1: 936 Phyllis St; C9: Port Arthur
241.txt|Oops I tagged the wrong Church Unlimited-- it's on Ayers Street in Corpus Christi harvey stxw|[{'locationDesc': 'Ayers Street', 'locationCate': 'C2', 'startIndex': 51, 'endIndex': 63}, {'locationDesc': 'Corpus Christi', 'locationCate': 'C9', 'startIndex': 67, 'endIndex': 81}]|C8: Church Unlimited; C2: Ayers Street; C9: Corpus Christi
242.txt|All stores in Corpus are open except CC 12 at Weber Road and Holly Ave. Thanks for sharing! HurricaneHarve|[{'locationDesc': 'Corpus', 'locationCate': 'C9', 'startIndex': 14, 'endIndex': 20}, {'locationDesc': 'Weber Road and Holly Ave', 'locationCate': 'C5', 'startIndex': 46, 'endIndex': 70}]|C9: Corpus; C4: CC 12; C5: Weber Road and Holly Ave
245.txt|hELP NEED: Galveston Seawall & 61st St. HARVEY HARVEYHURRICANE|[{'locationDesc': 'Galveston Seawall & 61st St', 'locationCate': 'C5', 'startIndex': 11, 'endIndex': 38}]|C7: Galveston Seawall; C5: 61st St
246.txt|North Main Street Bridge, near Downtown Houston HurricaneHarvey|[{'locationDesc': 'North Main Street Bridge', 'locationCate': 'C7', 'startIndex': 0, 'endIndex': 24}, {'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 40, 'endIndex': 47}]|C7: North Main Street Bridge; C9: Downtown Houston
247.txt|HurricaneHarvey family needs rescuing at 11800 Grant Rd. Apt. 1009. Cypress, Texas 77429 @USC|[{'locationDesc': '11800 Grant Rd. Apt. 1009. Cypress, Texas 77429', 'locationCate': 'C1', 'startIndex': 41, 'endIndex': 88}]|C1: 11800 Grant Rd. Apt. 1009; C9: Cypress, Texas 77429
249.txt|We're preparing 1,200+ sandbags for Houston schools, 100s more for House Park. â€¦|[{'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 36, 'endIndex': 43}, {'locationDesc': 'House Park', 'locationCate': 'C7', 'startIndex': 67, 'endIndex': 77}]|C9: Houston schools; C7: House Park
25.txt|Gerardos in Houston on Patton Street. Can we say price gouging during HurricaneHarvey. Shame .. Shame!|[{'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 12, 'endIndex': 19}, {'locationDesc': 'Patton Street', 'locationCate': 'C2', 'startIndex': 23, 'endIndex': 36}]|C8: Gerardos; C9: Houston; C2: Patton Street
250.txt|Rescue Need! Catherwood Dr. on South side of Corpus. HurricaneHarvey|[{'locationDesc': 'Catherwood Dr', 'locationCate': 'C2', 'startIndex': 13, 'endIndex': 26}, {'locationDesc': 'Corpus', 'locationCate': 'C9', 'startIndex': 45, 'endIndex': 51}]|C2: Catherwood Dr.; C10: South side of Corpus
252.txt|USVI, Puerto Rico, Texas, and Florida need help and housing. Still building that dividing wall? Irma Harvey Mari|[{'locationDesc': 'Puerto Rico', 'locationCate': 'C9', 'startIndex': 6, 'endIndex': 17}, {'locationDesc': 'Texas', 'locationCate': 'C9', 'startIndex': 19, 'endIndex': 24}, {'locationDesc': 'Florida', 'locationCate': 'C9', 'startIndex': 30, 'endIndex': 37}]|C9: USVI; C9: Puerto Rico; C9: Texas; C9: Florida
254.txt|TX is a huge state & it will need a lot of$ to recover from Harvey. Forget building the wall use$ to Help TexaS|[{'locationDesc': 'TX', 'locationCate': 'C9', 'startIndex': 0, 'endIndex': 2}, {'locationDesc': 'TexaS', 'locationCate': 'C9', 'startIndex': 106, 'endIndex': 111}]|C9: TX
260.txt|+ Plus Hotel 15701 Park Ten Pl, Houston, TX 77084 has people stranded without food or clothing. HarveyRelief HurricaneHarve|[{'locationDesc': '15701 Park Ten Pl, Houston, TX 77084', 'locationCate': 'C1', 'startIndex': 13, 'endIndex': 49}]|C8: Plus Hotel 15701 Park Ten Pl, Houston, TX 77084
263.txt|Harvey SOS Richmond area 10ppl 8 addults 2 toddlers stuck 2nd floor 18234 Brightwood Park Lane, Richmond TX 77407|[{'locationDesc': 'Richmond', 'locationCate': 'C9', 'startIndex': 11, 'endIndex': 19}, {'locationDesc': '18234 Brightwood Park Lane, Richmond TX 77407', 'locationCate': 'C1', 'startIndex': 68, 'endIndex': 113}]|C10: Richmond area; C1: 18234 Brightwood Park Lane, Richmond TX 77407
264.txt|has been informed that Island Transit Park-and-Ride between Galveston and League City will be suspended on Friday, 8/ 25 Harve|[{'locationDesc': 'Galveston', 'locationCate': 'C9', 'startIndex': 60, 'endIndex': 69}, {'locationDesc': 'League City', 'locationCate': 'C9', 'startIndex': 74, 'endIndex': 85}]|C7: Island Transit Park-and-Ride; C9: Galveston; C9: League City
